site_url,aff_url
https://www.amazon.com/Nintendo-Switch-12-Month-Individual-Membership/dp/B07FV64QLX/?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D,"0    https://www.amazon.com/Nintendo-Switch-12-Month-Individual-Membership/dp/B07FV64QLX/?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1793621-REG%2Fapple_mrw43ll_a_16_macbook_pro_m3.html&xcust=___vg__p_22163460__i_hxZ2Jk__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1793621-REG%2Fapple_mrw43ll_a_16_macbook_pro_m3.html&xcust=___vg__p_22163460__i_hxZ2Jk__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746353-REG%2Fapple_mmfj3ll_a_mac_mini_with_m2.html&xcust=___vg__p_22163460__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746353-REG%2Fapple_mmfj3ll_a_mac_mini_with_m2.html&xcust=___vg__p_22163460__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1710306-REG%2Fapple_mly43ll_a_13_6_macbook_air_m2.html&xcust=___vg__p_22163460__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1710306-REG%2Fapple_mly43ll_a_13_6_macbook_air_m2.html&xcust=___vg__p_22163460__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.onepeloton.com%2Fapp&xcust=___vg__p_23406067__i_cvfBmu__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.onepeloton.com%2Fapp&xcust=___vg__p_23406067__i_cvfBmu__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Apple-Gift-Card-Holiday-1/dp/B093GXWC9K?tag=theverge02-20&ascsubtag=___vg__p_23406067__i_7aq18x__t_w__d_D,"0    https://www.amazon.com/Apple-Gift-Card-Holiday-1/dp/B093GXWC9K?tag=theverge02-20&ascsubtag=___vg__p_23406067__i_7aq18x__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1668323-REG%2Fapple_mbp_16_sg_25_16_2_macbook_pro_with.html&xcust=___vg__p_22163460__i_Ffoqi8__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1668323-REG%2Fapple_mbp_16_sg_25_16_2_macbook_pro_with.html&xcust=___vg__p_22163460__i_Ffoqi8__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.rockstargames.gta3.de&xcust=___vg__p_23765360__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.rockstargames.gta3.de&xcust=___vg__p_23765360__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1469077-REG%2Felgato_10gai9901_stream_deck_mini.html&xcust=___vg__p_23773411__i_Yav3fA__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1469077-REG%2Felgato_10gai9901_stream_deck_mini.html&xcust=___vg__p_23773411__i_Yav3fA__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.ticketmaster.com%2Fsearch%3Fq%3Dbadbunny&xcust=___vg__p_23406067__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.ticketmaster.com%2Fsearch%3Fq%3Dbadbunny&xcust=___vg__p_23406067__t_w__d_D
Name: aff_url, dtype: object"
https://click.linksynergy.com/deeplink?id=nOD/rLJHOac&mid=24542&murl=https://www.microsoft.com/en-us/microsoft-365/onenote/digital-note-taking-app&u1=[]vg[p]23706638[t]w[d]D,"0    https://click.linksynergy.com/deeplink?id=nOD/rLJHOac&mid=24542&murl=https://www.microsoft.com/en-us/microsoft-365/onenote/digital-note-taking-app&u1=[]vg[p]23706638[t]w[d]D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Feu.ecoflow.com%2Fproducts%2Fglacier-detachable-wheels-and-lever&xcust=___vg__p_23751652__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Feu.ecoflow.com%2Fproducts%2Fglacier-detachable-wheels-and-lever&xcust=___vg__p_23751652__t_w__d_D
Name: aff_url, dtype: object"
https://goto.target.com/c/482924/81938/2092?u=https%3A%2F%2Fwww.target.com%2Fp%2Fplaystation-plus-30-gift-card-digital%2F-%2FA-86994557&subId2=[]vg[p]23406067[t]w[d]D,"3    https://www.target.com/p/playstation-plus-30-gift-card-digital/-/A-86994557?clkid=23cfc62fNa92411ee97a045938673b63f&cpng=PTID1&lnm=81938&afid=Vox%20Media&ref=tgt_adv_xasd0002
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1469077-REG%2Felgato_10gai9901_stream_deck_mini.html&xcust=___vg__p_23773411__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1469077-REG%2Felgato_10gai9901_stream_deck_mini.html&xcust=___vg__p_23773411__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746367-REG%2Fapple_mnh73ll_a_mac_mini_with_m2.html&xcust=___vg__p_22163460__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746367-REG%2Fapple_mnh73ll_a_mac_mini_with_m2.html&xcust=___vg__p_22163460__t_w__d_D
Name: aff_url, dtype: object"
https://click.linksynergy.com/deeplink?id=nOD/rLJHOac&mid=24348&murl=https://www.gamestop.com/gift-cards/digital-subscriptions/products/xbox-game-pass-3-month-ultimate-membership/198534.html?utm_source=rakutenls&utm_medium=affiliate&utm_content=Vox+Media&utm_campaign=10&utm_id=3430747&utm_kxconfid=tebx5rmj3&cid=afl_10000087&affID=77777&sourceID=nOD_rLJHOac-LFPBZ1Ry0w4FKoq1SwP4FA&ranMID=24348&ranEAID=nOD%2FrLJHOac&ranSiteID=nOD_rLJHOac-LFPBZ1Ry0w4FKoq1SwP4FA&u1=[]vg[p]23406067[i]NZQ8MA[t]w[d]D,"0    https://click.linksynergy.com/deeplink?id=nOD/rLJHOac&mid=24348&murl=https://www.gamestop.com/gift-cards/digital-subscriptions/products/xbox-game-pass-3-month-ultimate-membership/198534.html?utm_source=rakutenls&utm_medium=affiliate&utm_content=Vox+Media&utm_campaign=10&utm_id=3430747&utm_kxconfid=tebx5rmj3&cid=afl_10000087&affID=77777&sourceID=nOD_rLJHOac-LFPBZ1Ry0w4FKoq1SwP4FA&ranMID=24348&ranEAID=nOD%2FrLJHOac&ranSiteID=nOD_rLJHOac-LFPBZ1Ry0w4FKoq1SwP4FA&u1=[]vg[p]23406067[i]NZQ8MA[t]w[d]D
Name: aff_url, dtype: object"
